alim_ssgrp_nom_fr;alim_ssssgrp_nom_fr;alim_nom_fr;energie_kj;energie_kcal;protein;carbohydrates;lipid;sugar;salt;price;img_path
;;Dessert (aliment moyen);;;4,61;36,6;12,9;23,7;0,38;;
salades composées et crudités;-;"""Salade de thon et légumes, appertisée""";-;-;9,15;7,74;4,7;3,08;1,11;;
salades composées et crudités;-;Salade composée avec viande ou poisson, appertisée;-;-;8,06;6,4;5,3;1,9;0,95;;
salades composées et crudités;-;Champignons à la grecque, appertisés;-;-;2,08;3,95;3,55;2,38;1,26;;
salades composées et crudités;-;Salade de pommes de terre, fait maison;-;-;2,68;9,9;8,2;-;1,32;;
salades composées et crudités;-;Taboulé ou Salade de couscous, préemballé;753;179;4,88;23,7;6,7;4,9;1;;
salades composées et crudités;-;Salade de pomme de terre à la piémontaise, préemballée;542;130;4,5;8,87;8,3;1,2;1,08;;
salades composées et crudités;-;Salade de riz, appertisée;-;-;5,13;16,1;4,35;1;1,1;;
salades composées et crudités;-;Salade de pâtes, végétarienne;-;-;5,7;13,7;8,1;2,3;1,04;;
salades composées et crudités;-;Crudité, sans assaisonnement (aliment moyen);125;29,9;0,94;3,07;0,7;2,27;0,031;;
salades composées et crudités;-;Salade de pâtes aux légumes, avec poisson ou viande, préemballée;-;-;5,19;14;9,94;2,16;0,95;;
salades composées et crudités;-;Macédoine de légumes en salade, avec sauce, préemballée;-;-;2,81;7;9,3;2,3;1,04;;
salades composées et crudités;-;Salade César au poulet (salade verte, fromage, croûtons, sauce), préemballée;-;-;8,13;4,88;10;1,71;0,75;;
salades composées et crudités;-;Salade végétale à base de boulgour et/ou quinoa et légumes, préemballée;704;168;4,06;17,4;8,3;4,61;0,77;;
salades composées et crudités;-;Carottes râpées, avec sauce, préemballées;-;-;0,98;6,01;5;5,2;0,67;;
salades composées et crudités;-;Salade de betterave, avec sauce, préemballée;-;-;1,29;7,45;4,94;5,3;0,7;;
salades composées et crudités;-;Salade de chou ou Coleslaw, avec sauce, préemballée;435;105;0,94;5,78;8,1;4,72;0,88;;
salades composées et crudités;-;Salade de concombre à la crème/fromage blanc, préemballée;-;-;1,1;1,97;11,3;1,39;1,07;;
salades composées et crudités;-;Salade de lentilles et saucisse fumée, préemballée;-;-;7;8,9;11,8;0,9;0,89;;
salades composées et crudités;-;Salade grecque, avec sauce, préemballée;-;-;2;1,4;7,1;1,4;1,04;;
salades composées et crudités;-;Salade de riz à la niçoise, avec sauce, préemballée;-;-;4,45;15,8;6,08;1,35;0,76;;
salades composées et crudités;-;Taboulé ou Salade de couscous au poulet, préemballé;-;-;6,4;20,6;7,45;2,48;1,05;;
soupes;-;Soupe aux lentilles, préemballée à réchauffer;232;55;3,74;6,6;1,12;0,7;0,36;;
soupes;-;Soupe à la volaille et aux légumes, préemballée à réchauffer;129;30,8;3,09;2,6;0,8;1,2;1,75;;
soupes;-;Soupe aux légumes variés, préemballée à réchauffer;165;39,4;0,76;5,05;1,56;1,72;0,69;;
soupes;-;Soupe de poissons et / ou crustacés, préemballée à réchauffer;179;42,8;3,45;2,88;1,79;0,9;0,86;;
soupes;-;Soupe aux légumes variés, déshydratée reconstituée;144;34,5;0,86;4,43;1,22;1,07;0,69;;
soupes;-;Soupe aux poireaux et pommes de terre, préemballée à réchauffer;155;37,1;0,79;4,46;1,51;0,81;0,73;;
soupes;-;Soupe à la volaille et aux vermicelles, préemballée à réchauffer;129;30,8;1,3;3,86;1;0,77;0,82;;
soupes;-;Bouillon de viande et légumes type pot-au-feu, prêt à consommer;19,9;4,8;0,2;0,1;0,4;0;1,08;;
soupes;-;Soupe à l'oignon, préemballée à réchauffer;169;40,4;1,35;4,93;1,4;1,5;0,79;;
soupes;-;Soupe aux champignons, préemballée à réchauffer;201;48,2;0,81;4,09;3,07;0,91;0,78;;
soupes;-;Soupe à la carotte, préemballée à réchauffer;139;33,2;0,61;3,89;1,41;1,82;0,65;;
soupes;-;Soupe à la tomate, préemballée à réchauffer;163;38,7;0,74;6,27;0,99;2,95;0,64;;
soupes;-;Soupe chorba frik, à base de viande et de frik;263;62,9;3,75;5,4;2,5;0,9;0,84;;
soupes;-;Soupe minestrone, préemballée à réchauffer;204;48,8;1,2;5,6;2;1,7;0,75;;
soupes;-;Soupe au pistou, déshydratée reconstituée;128;30,4;1,2;5,2;0,35;1,2;0,64;;
soupes;-;Soupe de poissons et / ou crustacés, déshydratée reconstituée;122;29;0,91;5,09;0,5;1,06;0,63;;
soupes;-;Soupe asiatique, avec pâtes, déshydratée reconstituée;126;29,8;0,97;5,25;0,44;1,21;0,84;;
soupes;-;Soupe marocaine, déshydratée reconstituée;145;34,3;1,2;5,77;0,55;1,49;0,8;;
soupes;-;Soupe aux poireaux et pommes de terre, déshydratée reconstituée;110;26,1;0,63;4,84;0,41;0,91;0,72;;
soupes;-;Soupe à la volaille et aux légumes, déshydratée reconstituée;115;27,3;0,99;4,58;0,44;0,55;0,73;;
soupes;-;Bouillon de boeuf, déshydraté reconstitué;38,3;9,05;0,6;1,33;0,15;0,33;0,74;;
soupes;-;Soupe aux asperges, déshydratée reconstituée;148;35,3;0,6;5,14;1,31;0,99;0,76;;
soupes;-;Soupe à la tomate et aux vermicelles, préemballée à réchauffer;158;37,7;1,1;5,87;0,8;3,43;0,77;;
soupes;-;Soupe aux céréales et aux légumes, déshydratée reconstituée;201;47,8;1,4;6,8;1,4;1,2;0,78;;
soupes;-;Soupe à la tomate, déshydratée reconstituée;152;36,2;0,76;5,79;0,97;2,44;0,69;;
soupes;-;Soupe aux champignons, déshydratée reconstituée;158;37,8;0,65;4,37;1,79;0,63;0,79;;
soupes;-;Soupe à l'oignon, déshydratée reconstituée;101;24;0,58;4,37;0,4;1,3;0,79;;
soupes;-;Soupe au potiron, préemballée à réchauffer;150;35,9;0,67;4,13;1,56;2,37;0,65;;
soupes;-;Bouillon de volaille, déshydraté reconstitué;23,5;5,58;0,6;0,5;0,13;0,18;0,78;;
soupes;-;Bouillon de légumes, déshydraté reconstitué;22,7;5,38;0,34;0,65;0,16;0,19;0,61;;
soupes;-;Soupe à la tomate et aux vermicelles, déshydratée reconstituée;91,5;21,6;0,63;4,21;0,18;0,72;0,68;;
soupes;-;Soupe à la volaille et aux vermicelles, déshydratée reconstituée;90;21,3;0,75;3,87;0,25;0,31;0,68;;
soupes;-;Soupe au pistou, préemballée à réchauffer;134;31,9;2;4,1;0,5;< 0,25;0,65;;
soupes;-;Soupe au potiron, déshydratée reconstituée;161;38,3;0,79;5,61;1,24;2,64;0,7;;
soupes;-;Soupe asiatique, avec pâtes, préemballée à réchauffer;93,8;22,3;0,7;3,4;0,5;0,5;0,9;;
soupes;-;Soupe minestrone, déshydratée reconstituée;132;31,3;1,14;5,53;0,34;1,07;0,7;;
soupes;-;Soupe au cresson, déshydratée reconstituée;105;25,1;0,42;3,95;0,8;0,31;0,77;;
soupes;-;Soupe au cresson, préemballée à réchauffer;143;34;1;5,4;0,8;0,9;0,78;;
soupes;-;Soupe aux légumes avec fromage, préemballée à réchauffer;210;50,2;1,34;5,09;2,51;1,62;0,67;;
soupes;-;Soupe aux légumes verts, préemballée à réchauffer;140;33,4;1;3,84;1,32;0,81;0,7;;
soupes;-;Soupe aux légumes verts, déshydratée reconstituée;146;34,8;0,72;5,31;1,07;1,07;0,66;;
soupes;-;Soupe aux pois cassés, préemballée à réchauffer;238;56,7;2,68;6,25;1,98;1,02;0,7;;
soupes;-;Soupe froide type Gaspacho ou Gazpacho, préemballée;137;32,8;0,65;3,38;1,62;2,32;0,75;;
soupes;-;Soupe aux asperges, préemballée à réchauffer;551;133;4,6;4,7;10,4;2,9;0,98;;
soupes;-;Soupe (aliment moyen);157;37,4;1,27;4,5;1,37;1,6;0,75;;
soupes;-;Soupe miso, déshydratée reconstituée;72,4;17,1;1,38;2,18;< 0,5;0,69;1,1;;
plats composés;plats de viande sans garniture;Tripes à la mode de Caen;487;116;20,4;0,3;3,68;traces;1,06;;
plats composés;plats de viande sans garniture;Tripes à la mode de Caen, préemballées;469;112;18,4;0,7;3,62;0,5;1,03;;
plats composés;plats de viande sans garniture;Tripes à la tomate ou à la provençale;396;94,1;15,7;0,6;3,2;< 0,4;1,23;;
plats composés;plats de viande sans garniture;Blanquette de veau;474;113;15,4;3,1;4;0,3;0,74;;
plats composés;plats de viande sans garniture;Boeuf bourguignon;355;84,6;8,93;4,17;3,3;1,57;0,88;;
plats composés;plats de viande sans garniture;Sauté d'agneau au curry, préemballé;-;-;10,5;-;13,9;-;1,29;;
plats composés;plats de viande sans garniture;Canard en sauce (poivre vert, chasseur, etc.), préemballé;605;145;9,55;10,2;7,3;-;-;;
plats composés;plats de viande sans garniture;Lapin à la moutarde, préemballé;453;108;14,9;0,5;5;0,5;1,2;;
plats composés;plats de viande sans garniture;Coq au vin;555;133;13;4;7;1;1,05;;
plats composés;plats de viande sans garniture;Paupiette de veau;801;193;14,5;2,6;13,8;0,41;1,26;;
plats composés;plats de viande sans garniture;Paupiette de volaille;691;164;23,9;8,8;3,4;-;1,05;;
plats composés;plats de viande sans garniture;Viande en sauce (aliment moyen);436;104;11,3;3,65;4,6;1,34;0,85;;
plats composés;plats de viande sans garniture;Poulet au curry et au lait de coco;517;124;10,6;3,15;6,9;1,49;1,07;;
plats composés;plats de viande sans garniture;Meloukhia, plat à base de boeuf et corete, fait maison;783;189;10,6;1,2;14,7;1,2;0,93;;
plats composés;plats de viande sans garniture;Palette à la diable, préemballée;501;120;13,5;2,08;6,07;1,38;2,25;;
plats composés;plats de viande sans garniture;Langue de boeuf sauce madère, préemballée;746;180;9,5;4,5;13,5;2,5;1,08;;
plats composés;plats de viande sans garniture;Porc au caramel, préemballé;569;136;10;11,4;5,4;7,9;1,34;;
plats composés;plats de viande sans garniture;Boulettes au boeuf, à la sauce tomate, préemballées;487;117;9;5,5;6,5;-;-;;
plats composés;plats de viande sans garniture;Paupiette de veau, préemballée,  cuite au four;1150;276;22;0,48;20,5;0,3;1,07;;
plats composés;plats de viande sans garniture;Carpaccio de boeuf, avec marinade;1120;271;15,2;0,55;23;0,5;1,12;;
plats composés;plats de viande sans garniture;Yakitori (brochettes japonaises grillées en sauce);727;172;26;9,3;3,3;6,6;1,19;;
plats composés;plats de viande sans garniture;Brochette de boeuf, cuite;583;139;21,9;0,33;5,2;-;0,86;;
plats composés;plats de viande sans garniture;Brochette de volaille, cuite;576;137;23,1;1,39;4;-;0,75;;
plats composés;plats de viande et féculents;Hachis parmentier à la viande, préemballé;577;138;5,99;9,39;8,22;1,47;0,83;;
plats composés;plats de viande et féculents;Couscous au mouton;626;149;8,31;12,2;7,2;1,38;0,81;;
plats composés;plats de viande et féculents;Couscous à la viande ou au poulet, préemballé, allégé;382;90,7;5,9;11,5;1,9;2,1;0,7;;
plats composés;plats de viande et féculents;Poêlée de pommes de terre préfrites, lardons ou poulet, et autres, sans légumes verts, préemballée;702;168;3,2;16,2;9,6;1,7;0,6;;
plats composés;plats de viande et féculents;Couscous royal (avec plusieurs viandes), préemballé;553;132;7,69;14;4,53;1,57;0,88;;
plats composés;plats de viande et féculents;Couscous au poulet;547;130;7,5;15,6;3,85;2,87;0,79;;
plats composés;plats de viande et féculents;Couscous à la viande, préemballé;537;128;7,59;12,5;4,73;1,97;0,78;;
plats composés;plats de viande et féculents;Parmentier de canard, préemballé;608;146;6,82;8,51;9,06;1,96;0,81;;
plats composés;plats de viande et féculents;Parmentier de canard, préemballé, cuit;699;168;7;10,5;10,2;1,7;0,74;;
plats composés;plats de viande et légumes/légumineuses;Cassoulet, appertisé;539;129;8,06;9,41;5,77;1,06;0,97;;
plats composés;plats de viande et légumes/légumineuses;Choucroute garnie, préemballée;454;109;5,06;2,8;8,06;0,66;1,39;;
plats composés;plats de viande et légumes/légumineuses;Petit salé ou saucisse aux lentilles, préemballé;494;118;8,24;8,89;4,87;1,51;0,98;;
plats composés;plats de viande et légumes/légumineuses;Pot-au-feu, préemballé;326;77,5;10,9;3,2;2,02;1,5;0,32;;
plats composés;plats de viande et légumes/légumineuses;Boeuf aux carottes;406;96,6;13,2;3,3;3,15;0,6;0,58;;
plats composés;plats de viande et légumes/légumineuses;Potée auvergnate (chou et porc);342;82,1;6;3,7;4,3;0,86;0,84;;
plats composés;plats de viande et légumes/légumineuses;Cassoulet au porc, appertisé;552;132;8,3;8,6;6,3;1,8;1,1;;
plats composés;plats de viande et légumes/légumineuses;Cassoulet au canard ou oie, appertisé;672;161;10,5;10,1;7,86;1,09;1,05;;
plats composés;plats de viande et légumes/légumineuses;Tomate farcie;503;122;5,49;2;9,67;0,88;0,7;;
plats composés;plats de viande et légumes/légumineuses;Chou farci, préemballé;393;94,9;5,3;2;6,6;2;0,87;;
plats composés;plats de viande et légumes/légumineuses;Chili con carne, préemballé;494;118;7,13;13;3,35;2,58;0,93;;
plats composés;plats de viande et légumes/légumineuses;Moussaka;610;147;5,82;5,16;10,8;3,01;0,97;;
plats composés;plats de viande et légumes/légumineuses;Navarin d'agneau aux légumes;554;133;8,05;5;8,61;0,9;0,63;;
plats composés;plats de viande et légumes/légumineuses;Tajine de mouton;550;132;12,8;4,5;6,83;2,4;0,99;;
plats composés;plats de viande et légumes/légumineuses;Osso buco;406;96,7;11,2;3,5;4,08;1,1;1,47;;
plats composés;plats de viande et légumes/légumineuses;Poulet basquaise, préemballé;448;107;9,3;2,5;6,4;2;0,89;;
plats composés;plats de viande et légumes/légumineuses;Tajine de poulet, préemballé;534;127;7,54;14,4;3,7;6,8;1,17;;
plats composés;plats de viande et légumes/légumineuses;Chop suey (porc ou poulet), préemballé;329;78,2;5;7,8;3;-;-;;
plats composés;plats de viande et légumes/légumineuses;Légumes farcis (sauf tomate);292;69,8;6,4;3,6;3;2,59;0,69;;
plats composés;plats de poisson sans garniture;Moules marinières (oignons et vin blanc);388;92;10,3;7,43;2,24;1,05;0,69;;
plats composés;plats de poisson sans garniture;Moules farcies (matière grasse, persillade…), préemballées, crues;1170;284;9,56;4,43;24,8;0,3;1,08;;
plats composés;plats de poisson sans garniture;Gratin ou cassolette de poisson et / ou fruits de mer,  préemballé, cru;441;105;6,13;8,39;5,1;2,48;0,82;;
plats composés;plats de poisson sans garniture;Gratin ou cassolette de poisson et / ou fruits de mer, préemballé, cuit;488;117;6,69;5,28;7,5;1,6;0,92;;
plats composés;plats de poisson sans garniture;Saumon à l'oseille, préemballé;557;133;8,36;7,43;7,65;0,58;0,69;;
plats composés;plats de poisson sans garniture;Poisson blanc à la bordelaise, préemballé;735;176;14,8;5,3;10,4;1,09;1,28;;
plats composés;plats de poisson sans garniture;Poisson blanc à la provençale ou niçoise (sauce tomate), préemballé;315;75,2;9,31;3,1;2,3;2;0,7;;
plats composés;plats de poisson sans garniture;Poisson blanc à la florentine (sauce aux épinards), préemballé;420;100;11,4;2,9;4,35;1,95;0,56;;
plats composés;plats de poisson sans garniture;Poisson blanc à la marinière (sauce aux oignons, vin blanc, moules), préemballé;337;80;11,5;2,2;2,8;-;-;;
plats composés;plats de poisson sans garniture;Poisson blanc à la sauce moutarde, préemballé;381;90,8;9,2;5,4;3,6;-;-;;
plats composés;plats de poisson sans garniture;Poisson blanc à la parisienne (sauce aux champignons), préemballé;335;79,9;9,16;3;3,25;0,86;0,55;;
plats composés;plats de poisson sans garniture;Poisson blanc à l'estragon, préemballé;325;77,2;8,8;4,2;2,8;-;-;;
plats composés;plats de poisson sans garniture;Poisson blanc sauce oseille, préemballé;478;114;11,8;3,9;5,5;1,65;0,88;;
plats composés;plats de poisson sans garniture;Saumon farci, préemballé;945;227;18,8;0,4;16,2;0,4;0,65;;
plats composés;plats de poisson sans garniture;Brochette de poisson;535;127;18;0,86;5,71;0,85;0,56;;
plats composés;plats de poisson sans garniture;Brochette de crevettes;396;93,5;18,5;1,5;1,5;0;0,35;;
plats composés;plats de poisson sans garniture;Poisson en sauce, surgelé;551;132;13,3;3,18;7,05;1,3;0,82;;
plats composés;plats de poisson sans garniture;Poisson cuit (aliment moyen);604;144;23,5;0;5,52;0;0,54;;
plats composés;plats de poisson sans garniture;Poisson blanc, cuit (aliment moyen);454;107;22;0;2,18;0;0,88;;
plats composés;plats de poisson sans garniture;Poisson blanc, de mer, cuit (aliment moyen);449;106;22,1;0;2;0;0,98;;
plats composés;plats de poisson et féculents;Paëlla;621;148;7,86;17,1;4,9;1,2;0,87;;
plats composés;plats de poisson et féculents;Couscous au poisson;442;105;7,5;14,2;1,6;1,7;0,84;;
